number,sys_id,short_description,priority,state,assignment_group,assigned_to,opened_by,company,sys_created_on,sys_updated_on,link,age_days
INC0044477,2c44beb03b493e14399d5d0864e45a99,Unable to connect to desktops at Desk 3.135 and 3.133 at Perth Office on Level 3,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ccd472c433502a1001691fa19e5c7b94"", ""value"": ""ccd472c433502a1001691fa19e5c7b94""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/340de62a333f9e1001691fa19e5c7b88"", ""value"": ""340de62a333f9e1001691fa19e5c7b88""}",,2025-11-04 07:11:11,2025-11-14 08:06:40,,
INC0045827,2c926b353b897a54ae6be524c3e45a4d,outlook has blocked access to links for the internet zone files,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/08d472c433502a1001691fa19e5c7b88"", ""value"": ""08d472c433502a1001691fa19e5c7b88""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f0bfd2263bff1e10d00f0dc5e4e45aee"", ""value"": ""f0bfd2263bff1e10d00f0dc5e4e45aee""}",,2025-11-07 13:06:52,2025-11-14 08:06:41,,
INC0042750,2ca6ac473b7c7e90ae6be524c3e45a7c,aspen hysys not responding,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/880f2ea2337f9e1001691fa19e5c7b09"", ""value"": ""880f2ea2337f9e1001691fa19e5c7b09""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/9b881e6e3b3f1e10d00f0dc5e4e45a52"", ""value"": ""9b881e6e3b3f1e10d00f0dc5e4e45a52""}",,2025-10-29 10:20:25,2025-11-14 08:06:42,,
INC0044683,2cbaecc13b417a14ae6be524c3e45ae5,I requested Adobe pro a month ago and Simon only seems to now have Adobe reader,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/bece26e23b375e10d00f0dc5e4e45a85"", ""value"": ""bece26e23b375e10d00f0dc5e4e45a85""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/92cbd2ea33b79e1001691fa19e5c7b21"", ""value"": ""92cbd2ea33b79e1001691fa19e5c7b21""}",,2025-11-04 15:48:33,2025-11-14 08:06:43,,
INC0022835,2cbca3f83b732210ae6be524c3e45ad8,Unable to combine PDF files using the Blue Beam revu,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d870ca693bb4a210d00f0dc5e4e45a89"", ""value"": ""d870ca693bb4a210d00f0dc5e4e45a89""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/46adca2e33739e1001691fa19e5c7b2f"", ""value"": ""46adca2e33739e1001691fa19e5c7b2f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ba225a6633f39e1001691fa19e5c7b54"", ""value"": ""ba225a6633f39e1001691fa19e5c7b54""}",,2025-09-03 08:02:42,2025-11-14 08:06:43,,
INC0018343,2d7226903bef6a90399d5d0864e45a04,P3 | HUL02-BK01-Mount Path Switched Online/Offline | hou12-cv01 ,4,3,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/47748ee533fcea1001691fa19e5c7b4f"", ""value"": ""47748ee533fcea1001691fa19e5c7b4f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4f1e62ae333f9e1001691fa19e5c7ba7"", ""value"": ""4f1e62ae333f9e1001691fa19e5c7ba7""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4f1e62ae333f9e1001691fa19e5c7ba7"", ""value"": ""4f1e62ae333f9e1001691fa19e5c7ba7""}",,2025-08-20 04:04:53,2025-11-14 08:06:45,,
INC0015926,2de76d393b53ea10ae6be524c3e45ad5,Voyager is down.,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/81aa0c4f3b022e10d00f0dc5e4e45aa6"", ""value"": ""81aa0c4f3b022e10d00f0dc5e4e45aa6""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/fb5ad6e63b7f1e10d00f0dc5e4e45a5a"", ""value"": ""fb5ad6e63b7f1e10d00f0dc5e4e45a5a""}",,2025-08-12 04:21:46,2025-11-14 08:06:47,,
INC0044350,2defb97c3bcd3614ae6be524c3e45ac4,Teams| Sing in issue in Phone,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/3bae88423319a25001691fa19e5c7b0b"", ""value"": ""3bae88423319a25001691fa19e5c7b0b""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/3bae88423319a25001691fa19e5c7b0b"", ""value"": ""3bae88423319a25001691fa19e5c7b0b""}",,2025-11-04 03:18:10,2025-11-14 08:06:48,,
INC0041776,2e3a465a3bf07690399d5d0864e45a31,Email Printing,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/d4bea262337f9e1001691fa19e5c7b24"", ""value"": ""d4bea262337f9e1001691fa19e5c7b24""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/34962ea633bb9e1001691fa19e5c7bd5"", ""value"": ""34962ea633bb9e1001691fa19e5c7bd5""}",,2025-10-27 09:41:52,2025-11-14 08:06:49,,
INC0045805,2ea59b7d3b457a54ae6be524c3e45abb,OLTC is not working,3,3,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/01aa0c4f3b022e10d00f0dc5e4e45abf"", ""value"": ""01aa0c4f3b022e10d00f0dc5e4e45abf""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/b1eba2663bf35e10d00f0dc5e4e45a1f"", ""value"": ""b1eba2663bf35e10d00f0dc5e4e45a1f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/fcf39eae33f39e1001691fa19e5c7bb9"", ""value"": ""fcf39eae33f39e1001691fa19e5c7bb9""}",,2025-11-07 12:07:58,2025-11-14 08:06:49,,
INC0043878,2ec850a03bc9bed0ae6be524c3e45ac8,Unable to load journals into International,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/b95d6c093bb02210d00f0dc5e4e45a04"", ""value"": ""b95d6c093bb02210d00f0dc5e4e45a04""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/fab5966a33379e1001691fa19e5c7b0c"", ""value"": ""fab5966a33379e1001691fa19e5c7b0c""}",,2025-11-03 01:12:54,2025-11-14 08:06:50,,
INC0044725,2f20a5813b853254399d5d0864e45afa,"Storage issue  |  system storage is full, and the system is not functioning properly.",4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f67eaa623b375e10d00f0dc5e4e45a0b"", ""value"": ""f67eaa623b375e10d00f0dc5e4e45a0b""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f67eaa623b375e10d00f0dc5e4e45a0b"", ""value"": ""f67eaa623b375e10d00f0dc5e4e45a0b""}",,2025-11-04 19:38:04,2025-11-14 08:06:52,,
INC0044517,2f3b433c3b49b614ae6be524c3e45a61,Not able to download NAVISWORK SIMULATE from software center,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/877eea623b375e10d00f0dc5e4e45a42"", ""value"": ""877eea623b375e10d00f0dc5e4e45a42""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/eacb02e63b3b1e10d00f0dc5e4e45ad9"", ""value"": ""eacb02e63b3b1e10d00f0dc5e4e45ad9""}",,2025-11-04 08:48:39,2025-11-14 08:06:53,,
INC0044690,2f5070893b817a14ae6be524c3e45af3,Hardware | Battery backup issue. ,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a62ee6ae333f9e1001691fa19e5c7b0c"", ""value"": ""a62ee6ae333f9e1001691fa19e5c7b0c""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f94f06aa3b7b1e10d00f0dc5e4e45aad"", ""value"": ""f94f06aa3b7b1e10d00f0dc5e4e45aad""}",,2025-11-04 16:12:56,2025-11-14 08:06:54,,
INC0044546,2fb9df383b897e14399d5d0864e45a7c,Dock station| Dock station not working,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/425d6c093bb02210d00f0dc5e4e45a11"", ""value"": ""425d6c093bb02210d00f0dc5e4e45a11""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a6a32a6a3b335e10d00f0dc5e4e45aa6"", ""value"": ""a6a32a6a3b335e10d00f0dc5e4e45aa6""}",,2025-11-04 09:52:17,2025-11-14 08:06:54,,
INC0035934,2fcea8383be0f694399d5d0864e45a07,Software does not appear in software center after 24 hours of approval,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/b95d6c093bb02210d00f0dc5e4e45a04"", ""value"": ""b95d6c093bb02210d00f0dc5e4e45a04""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/3cc69de23b1c7214399d5d0864e45a6f"", ""value"": ""3cc69de23b1c7214399d5d0864e45a6f""}",,2025-10-10 00:53:53,2025-11-14 08:06:55,,
INC0044478,3055fe783b4d7614ae6be524c3e45ae4,Application| Installation issue,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/2d3feb1d3bacea50d00f0dc5e4e45a16"", ""value"": ""2d3feb1d3bacea50d00f0dc5e4e45a16""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/2d3feb1d3bacea50d00f0dc5e4e45a16"", ""value"": ""2d3feb1d3bacea50d00f0dc5e4e45a16""}",,2025-11-04 07:11:36,2025-11-14 08:06:56,,
INC0015973,30cd86b53b1fea10ae6be524c3e45a6b,user not able to login,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d5573f7c3396e2d001691fa19e5c7b30"", ""value"": ""d5573f7c3396e2d001691fa19e5c7b30""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/0d08daaa3b3f1e10d00f0dc5e4e45a40"", ""value"": ""0d08daaa3b3f1e10d00f0dc5e4e45a40""}",,2025-08-12 07:06:08,2025-11-14 08:06:56,,
INC0045729,31065ebd3b49f654ae6be524c3e45ab3,Printer| a printer in the office is no longer working effectively,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e53fab1d3bacea50d00f0dc5e4e45af1"", ""value"": ""e53fab1d3bacea50d00f0dc5e4e45af1""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e53fab1d3bacea50d00f0dc5e4e45af1"", ""value"": ""e53fab1d3bacea50d00f0dc5e4e45af1""}",,2025-11-07 07:32:21,2025-11-14 08:06:57,,
INC0044864,31d348d13bc9fa14ae6be524c3e45a88,"Faulty monitor, lines on screen and unclear picture.",3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/769c2fad3bdc7690ae6be524c3e45a02"", ""value"": ""769c2fad3bdc7690ae6be524c3e45a02""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4eb3a2e6337b9e1001691fa19e5c7b7a"", ""value"": ""4eb3a2e6337b9e1001691fa19e5c7b7a""}",,2025-11-05 07:35:36,2025-11-14 08:06:58,,
INC0028808,31f166c63b003a54399d5d0864e45a07,Drawing tools are disabled,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/d870ca693bb4a210d00f0dc5e4e45a89"", ""value"": ""d870ca693bb4a210d00f0dc5e4e45a89""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/46adca2e33739e1001691fa19e5c7b2f"", ""value"": ""46adca2e33739e1001691fa19e5c7b2f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4492ea22337b9e1001691fa19e5c7b7b"", ""value"": ""4492ea22337b9e1001691fa19e5c7b7b""}",,2025-09-19 09:58:39,2025-11-14 08:07:00,,
INC0041698,31f9e1de3b3cfe50ae6be524c3e45a75,Performance is very slow while working in Chennai server,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/cfce26e23b375e10d00f0dc5e4e45adc"", ""value"": ""cfce26e23b375e10d00f0dc5e4e45adc""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/05bdc6623b7b1e10d00f0dc5e4e45a27"", ""value"": ""05bdc6623b7b1e10d00f0dc5e4e45a27""}",,2025-10-27 07:20:40,2025-11-14 08:07:00,,
INC0045883,321800823b45ba54ae6be524c3e45a5f,P3|OAK-BK01|Mount Path went Offline|Houcv|,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/47748ee533fcea1001691fa19e5c7b4f"", ""value"": ""47748ee533fcea1001691fa19e5c7b4f""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/bd8e6e623b375e10d00f0dc5e4e45afa"", ""value"": ""bd8e6e623b375e10d00f0dc5e4e45afa""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e2de22a2337f9e1001691fa19e5c7b54"", ""value"": ""e2de22a2337f9e1001691fa19e5c7b54""}",,2025-11-07 15:48:30,2025-11-14 08:07:01,,
INC0043987,32936dac3b4db614399d5d0864e45ac2,Installation failed,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/ae9cebad3bdc7690ae6be524c3e45af5"", ""value"": ""ae9cebad3bdc7690ae6be524c3e45af5""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/a86992a23b7f1e10d00f0dc5e4e45a48"", ""value"": ""a86992a23b7f1e10d00f0dc5e4e45a48""}",,2025-11-03 07:23:42,2025-11-14 08:07:02,,
INC0046023,32bcb8da3b497e54ae6be524c3e45a25,SolarWinds|P4| EMEA | ABZ44 | Aberdeen | GB|Memory Utilization Alert: ATT5-SP-SS01 Memory Usage Reached 93 %.,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/e4e40aa13bf4a210d00f0dc5e4e45a6e"", ""value"": ""e4e40aa13bf4a210d00f0dc5e4e45a6e""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4d4e2a223b375e10d00f0dc5e4e45aa6"", ""value"": ""4d4e2a223b375e10d00f0dc5e4e45aa6""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/4d4e2a223b375e10d00f0dc5e4e45aa6"", ""value"": ""4d4e2a223b375e10d00f0dc5e4e45aa6""}",,2025-11-08 14:19:09,2025-11-14 08:07:03,,
INC0036757,3310a57d3ba4f2d4399d5d0864e45a3e,3DsMax 2025 Not working Properly,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/30aee6a23b375e10d00f0dc5e4e45afd"", ""value"": ""30aee6a23b375e10d00f0dc5e4e45afd""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f03566ee337b9e1001691fa19e5c7b8f"", ""value"": ""f03566ee337b9e1001691fa19e5c7b8f""}",,2025-10-13 07:03:26,2025-11-14 08:07:04,,
INC0037759,3367dd5a3b2cbe54ae6be524c3e45ac5,Laptop battery ,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f8aee6a23b375e10d00f0dc5e4e45ad7"", ""value"": ""f8aee6a23b375e10d00f0dc5e4e45ad7""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f8aee6a23b375e10d00f0dc5e4e45ad7"", ""value"": ""f8aee6a23b375e10d00f0dc5e4e45ad7""}",,2025-10-14 19:42:07,2025-11-14 08:07:05,,
INC0019022,337542303ba3aed0ae6be524c3e45a01,ENABLE TO ACCESS MY ORACLE TIMESHEET,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/81aa0c4f3b022e10d00f0dc5e4e45aa6"", ""value"": ""81aa0c4f3b022e10d00f0dc5e4e45aa6""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/819426ae3b335e10d00f0dc5e4e45a3f"", ""value"": ""819426ae3b335e10d00f0dc5e4e45a3f""}",,2025-08-21 14:10:53,2025-11-14 08:07:06,,
INC0044783,342c47893b0dba14ae6be524c3e45abc,Account & Access| Windows 11 continually asks for my pin,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/22de6ae23b375e10d00f0dc5e4e45ade"", ""value"": ""22de6ae23b375e10d00f0dc5e4e45ade""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/c15f0aaa3b7b1e10d00f0dc5e4e45af4"", ""value"": ""c15f0aaa3b7b1e10d00f0dc5e4e45af4""}",,2025-11-05 03:33:32,2025-11-14 08:07:07,,
INC0022829,34c763f03b372210399d5d0864e45afc,"P4| BN.Brunei.1.Kuala Belait| Journal upload issue, getting Microsoft visual basic error",4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/2fbea662337f9e1001691fa19e5c7bf3"", ""value"": ""2fbea662337f9e1001691fa19e5c7bf3""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/87852ae23b735e10d00f0dc5e4e45a01"", ""value"": ""87852ae23b735e10d00f0dc5e4e45a01""}",,2025-09-03 07:37:05,2025-11-14 08:07:07,,
INC0040951,3644ee113b387a50399d5d0864e45ab2,Since the installation of the new hubs - we’ve been experiencing significant internet connectivity issues. We’re unable to connect to either the WAP89048 or Woo,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/bede22a2337f9e1001691fa19e5c7bf5"", ""value"": ""bede22a2337f9e1001691fa19e5c7bf5""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/69ed0ea23b7b1e10d00f0dc5e4e45a49"", ""value"": ""69ed0ea23b7b1e10d00f0dc5e4e45a49""}",,2025-10-24 08:59:58,2025-11-14 08:07:08,,
INC0043180,3663929b3b70bad0399d5d0864e45a6a,Ariel Performance Software | Getting an error when we opene the Ariel Performance Software 7,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/c3ceea62337f9e1001691fa19e5c7baa"", ""value"": ""c3ceea62337f9e1001691fa19e5c7baa""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/c3ceea62337f9e1001691fa19e5c7baa"", ""value"": ""c3ceea62337f9e1001691fa19e5c7baa""}",,2025-10-30 12:53:48,2025-11-14 08:07:09,,
INC0044263,368c04b83b89f214ae6be524c3e45ae7,"SolarWinds Alert|P4|EMEA | ABZ44 | Aberdeen | GB|""License Statistics"" of Application ""Service: License Statistics"" on ATT05p-XFM01 is Down",4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/e4e40aa13bf4a210d00f0dc5e4e45a6e"", ""value"": ""e4e40aa13bf4a210d00f0dc5e4e45a6e""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f05eae223b375e10d00f0dc5e4e45a94"", ""value"": ""f05eae223b375e10d00f0dc5e4e45a94""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/f05eae223b375e10d00f0dc5e4e45a94"", ""value"": ""f05eae223b375e10d00f0dc5e4e45a94""}",,2025-11-03 18:55:27,2025-11-14 08:07:10,,
INC0042422,36af0cfe3bb8be90399d5d0864e45a0e,Desktop | Desktop icons rearranging issue,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/586e6aee333f9e1001691fa19e5c7bf2"", ""value"": ""586e6aee333f9e1001691fa19e5c7bf2""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/586e6aee333f9e1001691fa19e5c7bf2"", ""value"": ""586e6aee333f9e1001691fa19e5c7bf2""}",,2025-10-28 14:02:06,2025-11-14 08:07:11,,
INC0044299,36f6a4f43b013614ae6be524c3e45ad1,Consistent poor network connection in Stallion - dropped audio and Teams calls in conference rooms and hardwired at desk,3,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/6f6ea6623b375e10d00f0dc5e4e45aa4"", ""value"": ""6f6ea6623b375e10d00f0dc5e4e45aa4""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/98045e263bfb1e10d00f0dc5e4e45a8b"", ""value"": ""98045e263bfb1e10d00f0dc5e4e45a8b""}",,2025-11-03 20:53:54,2025-11-14 08:07:12,,
INC0035787,3713de6c3becba14ae6be524c3e45ac4,GatewayTimeout,3,1,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/81aa0c4f3b022e10d00f0dc5e4e45aa6"", ""value"": ""81aa0c4f3b022e10d00f0dc5e4e45aa6""}",,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/94d366aa3b335e10d00f0dc5e4e45add"", ""value"": ""94d366aa3b335e10d00f0dc5e4e45add""}",,2025-10-09 13:38:10,2025-11-14 08:07:13,,
INC0044771,3716f24d3b817254399d5d0864e45ad4, Adobe Acrobat dc pro |User unable to install the Adobe Acrobat dc pro  from the software center,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/645e2e223b375e10d00f0dc5e4e45aed"", ""value"": ""645e2e223b375e10d00f0dc5e4e45aed""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/10642eaa337b9e1001691fa19e5c7b3f"", ""value"": ""10642eaa337b9e1001691fa19e5c7b3f""}",,2025-11-05 01:57:20,2025-11-14 08:07:14,,
INC0046110,37a3a8aa3b453694399d5d0864e45acd,SolarWinds Alert | P4 | EMEA | BSG01 | GQ | Paseo Maritimo | Hardware Health Alert: Disk Drive Bay 1 Drive 1: In Critical Array on bsg01-vh01.woodplc.net ,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/e4e40aa13bf4a210d00f0dc5e4e45a6e"", ""value"": ""e4e40aa13bf4a210d00f0dc5e4e45a6e""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e76ea6623b375e10d00f0dc5e4e45aef"", ""value"": ""e76ea6623b375e10d00f0dc5e4e45aef""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/e76ea6623b375e10d00f0dc5e4e45aef"", ""value"": ""e76ea6623b375e10d00f0dc5e4e45aef""}",,2025-11-09 07:06:40,2025-11-14 08:07:14,,
INC0044574,37a82bb03b81be14399d5d0864e45acc,Office 365 | Mails sent to JP Morgans got bounce,4,2,"{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user_group/421b4ade3b406290d00f0dc5e4e45aca"", ""value"": ""421b4ade3b406290d00f0dc5e4e45aca""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/365267e93b1c7690ae6be524c3e45a3d"", ""value"": ""365267e93b1c7690ae6be524c3e45a3d""}","{""link"": ""https://woodplcdev.service-now.com/api/now/table/sys_user/365267e93b1c7690ae6be524c3e45a3d"", ""value"": ""365267e93b1c7690ae6be524c3e45a3d""}",,2025-11-04 11:07:52,2025-11-14 08:07:15,,
